"Lon";"Lat";"CITY";"POIS"
-3.646883387;40.55047959;"Madrid";"Metro"
-3.637392615;40.54101898;"Madrid";"Metro"
-3.695759278;40.50525032;"Madrid";"Metro"
-3.623403334;40.55037444;"Madrid";"Metro"
-3.6626495;40.5155342;"Madrid";"Metro"
-3.727911159;40.38082724;"Madrid";"Metro"
-3.751916264;40.37199789;"Madrid";"Metro"
-3.77783378;40.35795246;"Madrid";"Metro"
-3.756906024;40.36421751;"Madrid";"Metro"
-3.734171678;40.37585969;"Madrid";"Metro"
-3.739106223;40.373594;"Madrid";"Metro"
-3.831780169;40.35008149;"Madrid";"Metro"
-3.736641504;40.30080675;"Madrid";"Metro"
-3.75682805;40.28873925;"Madrid";"Metro"
-3.759428417;40.32659685;"Madrid";"Metro"
-3.745771718;40.29324358;"Madrid";"Metro"
-3.729638477;40.32906791;"Madrid";"Metro"
-3.740186134;40.33663166;"Madrid";"Metro"
-3.70985858;40.31862322;"Madrid";"Metro"
-3.798909369;40.28267241;"Madrid";"Metro"
-3.73403382;40.30992262;"Madrid";"Metro"
-3.816427066;40.28574839;"Madrid";"Metro"
-3.874715029;40.31652112;"Madrid";"Metro"
-3.76797843;40.32176555;"Madrid";"Metro"
-3.72225015;40.31179863;"Madrid";"Metro"
-3.752668025;40.33474027;"Madrid";"Metro"
-3.771544564;40.32897617;"Madrid";"Metro"
-3.837691908;40.29680382;"Madrid";"Metro"
-3.718203882;40.32422047;"Madrid";"Metro"
-3.86402699;40.30902476;"Madrid";"Metro"
-3.863545433;40.3284971;"Madrid";"Metro"
-3.786982308;40.28683533;"Madrid";"Metro"
-3.806326586;40.28517056;"Madrid";"Metro"
-3.821201089;40.3496796;"Madrid";"Metro"
-3.849343411;40.34589074;"Madrid";"Metro"
-3.86489449;40.32167612;"Madrid";"Metro"
-3.812495254;40.34542573;"Madrid";"Metro"
-3.775876337;40.33615451;"Madrid";"Metro"
-3.872188547;40.33511701;"Madrid";"Metro"
-3.623514403;40.41828444;"Madrid";"Metro"
-3.612070828;40.42239066;"Madrid";"Metro"
-3.694966495;40.41921937;"Madrid";"Metro"
-3.704337221;40.43840594;"Madrid";"Metro"
-3.675912376;40.42453957;"Madrid";"Metro"
-3.639147584;40.42361352;"Madrid";"Metro"
-3.650528497;40.42661312;"Madrid";"Metro"
-3.603312655;40.42374301;"Madrid";"Metro"
-3.669261728;40.42790259;"Madrid";"Metro"
